m/z,I,S/N,Res.
343.06708,1.1277,17.77,2141696
343.08232,0.6305,9.81,1979378
343.09357,0.6051,9.4,2141784
343.10347,3.7264,59.38,2255669
343.10665,0.4667,7.18,2851524
343.1147,0.7763,12.14,1968521
343.11872,1.853,29.38,2060474
343.12995,0.8719,13.67,2226379
343.13985,2.6598,42.3,2238097
343.15511,2.1081,33.47,2241364
343.16635,0.6324,9.84,2069481
343.1915,0.7194,11.23,1841178
343.21262,1.0756,16.94,2393167
343.99486,1.2665,19.99,2368792
344.09873,0.5813,9.02,1643998
344.10682,0.5091,7.86,2354737
344.11398,0.9061,14.22,2097582
344.12521,1.2538,19.79,2292309
344.14321,0.5395,8.35,1980882
344.15037,0.7931,12.41,2153635
344.15847,0.6252,9.72,2373311
344.759,5.2119,83.17,2313691
344.79934,0.8446,13.24,2381289
344.81802,0.4835,7.45,2056624
344.83574,1.5671,24.81,2142711
345.0616,0.4862,7.5,1635156
345.08273,0.9889,15.55,2028029
345.09798,2.0112,31.92,2322491
345.10921,2.3704,37.67,2220818
345.11104,0.5708,8.85,1792698
345.11911,1.6642,26.36,2307446
345.12042,0.5494,8.51,1558083
345.13437,4.6875,74.77,2230958
345.1456,1.6901,26.78,2106220
345.15551,0.5714,8.86,1463411
345.17075,3.2789,52.22,2212693
345.20714,0.796,12.46,2168930
346.09322,1.2543,19.8,1785101
346.10447,1.7841,28.28,2220306
346.12962,2.0336,32.28,2317196
346.13772,0.8975,14.08,2341493
346.14085,2.7044,43.02,2238900
346.166,0.8843,13.87,2125660
346.17411,0.7083,11.05,2303668
346.75696,5.7024,91.03,2395179
346.77465,0.7958,12.45,2375746
346.8328,0.5611,8.7,2114520
346.83369,0.8312,13.02,2215033
347.07725,1.6264,25.76,2136078
347.08847,2.4542,39.01,2122105
347.09838,0.5652,8.76,2118955
347.09969,0.5405,8.37,1013267
347.11364,6.9328,110.73,2283979
347.12487,5.8506,93.4,2201616
347.15002,9.6212,153.78,2278835
347.16126,1.5672,24.81,2298772
347.1864,3.3217,52.9,2211915
347.31144,0.4547,6.99,1174197
348.0725,0.8321,13.04,2847489
348.08374,0.8142,12.75,2461467
348.09182,0.6248,9.72,1609275
